,latitude,longitude,azimuth,elevation
461,6.62024318,67.60525069,200.98,3.35
462,6.50356756,67.57855352,200.96,3.22
463,6.44522949,67.56520814,200.95,3.15
464,6.32855285,67.53852370,200.92,3.02
465,6.21187322,67.51184700,200.90,2.89
466,6.09519530,67.48517897,200.87,2.76
467,5.97851678,67.45851892,200.85,2.63
468,5.86183768,67.43186668,200.82,2.50
469,5.80349556,67.41854291,200.81,2.43
470,5.68681563,67.39190211,200.79,2.30
471,5.57013517,67.36526875,200.76,2.17
472,5.45345420,67.33864266,200.74,2.05
473,5.33677275,67.31202369,200.71,1.92
474,5.22008850,67.28541115,200.69,1.79
475,5.16174738,67.27210772,200.68,1.73
476,5.04506482,67.24550588,200.66,1.60
477,4.92838187,67.21891063,200.63,1.48
478,4.81169618,67.19232128,200.61,1.35
479,4.69501248,67.16573873,200.59,1.23
480,4.63667051,67.15244977,200.58,1.17
481,4.51998631,67.12587636,200.56,1.05
482,4.40329947,67.09930830,200.53,0.92
483,4.28661470,67.07274653,200.51,0.80
484,4.16992966,67.04619035,200.49,0.68
485,4.11158706,67.03291431,200.48,0.62
486,3.99490168,67.00636623,200.46,0.50
487,3.87821375,66.97982282,200.44,0.38
488,3.76152799,66.95328501,200.42,0.26
489,3.64483973,66.92675158,200.40,0.14
490,3.52815367,66.90022344,200.38,0.02
491,3.46981060,66.88696110,200.37,-0.04
492,3.35312439,66.86043981,200.34,-0.16
493,3.23643810,66.83392290,200.32,-0.28
494,3.11974940,66.80740968,200.30,-0.40
495,3.00306301,66.78090108,200.28,-0.51
496,2.88637661,66.75439640,200.26,-0.63
497,2.82803342,66.74114549,200.26,-0.69
498,2.71134469,66.71464589,200.24,-0.81
499,2.59465836,66.68815038,200.22,-0.92
500,2.47797209,66.66165827,200.20,-1.04
501,2.36128591,66.63516941,200.18,-1.15
502,2.30294051,66.62192562,200.17,-1.21
503,2.18625450,66.59544136,200.15,-1.32
504,2.06956864,66.56895997,200.13,-1.44
505,1.95288294,66.54248132,200.11,-1.55
